,회사,양
584,McKee Refinery (Valero),"Sunray, 200,000 bbl/d (32,000 m3/d"
585,Nixon Refinery (Blue Dolphin Energy Company),"Nixon, 15,000 bbl/d (2,400 m3/d)"
586,Pasadena Refinery (Chevron),"Pasadena, 100,000 bbl/d (16,000 m3/d)"
587,Port Arthur Refinery (Total S.A.),"Port Arthur, 225,500 bbl/d (35,850 m3/d)"
588,Port Arthur Refinery (Motiva Enterprises),"Port Arthur, 636,500 bbl/d (101,200 m3/d)"
589,Port Arthur Refinery (Valero),"Port Arthur, 335,000 bbl/d (53,300 m3/d"
590,San Antonio Refinery (Calumet Specialty Products Partners),"San Antonio, 16,800 bbl/d (2,670 m3/d)"
591,Sweeny Refinery (Phillips 66),"Sweeny, 247,000 bbl/d (39,300 m3/d) Nelson Complexity Index 13.2[59]"
592,Texas City Refinery (Valero),"Texas City Nelson Complexity Index 11.1,[69] 225,000 bbl/d (35,800 m3/d)"
593,Sullivan Three Rivers Refinery (Valero),"Three Rivers, 89,000 bbl/d (14,100 m3/d"
594,Tyler Refinery (Delek),"Tyler, 75,000 bbl/d (11,900 m3/d)"
595,"North Salt Lake Refinery (Big West Oil, a subsidiary of FJ Management)","North Salt Lake, 35,000 bbl/d (5,600 m3/d)[70]"
596,Salt Lake City Refinery (Chevron),"Salt Lake City, 50,000 bbl/d (7,900 m3/d)"
597,Salt Lake City Refinery (Marathon Petroleum),"Salt Lake City, 57,500 bbl/d (9,140 m3/d)"
598,Woods Cross Refinery (HollyFrontier),"Woods Cross, 25,050 bbl/d (3,983 m3/d) Nelson Complexity Index 12.5[55]"
599,Woods Cross Refinery (Silver Eagle Refining),"Woods Cross, 15,000 bbl/d (2,400 m3/d)"
600,Shell Anacortes Refinery (Shell Oil),"Anacortes, 145,000 bbl/d (23,100 m3/d)"
601,Marathon Anacortes Refinery (Marathon Petroleum),"Anacortes, 120,000 bbl/d (19,000 m3/d)"
602,Cherry Point Refinery (BP),"Blaine, 225,000 bbl/d (35,800 m3/d"
603,Ferndale Refinery (Phillips 66),"Ferndale, 101,000 bbl/d (16,100 m3/d)"
604,Tacoma Refinery (Par Pacific Holdings),"Tacoma, 40,700 bbl/d (6,470 m3/d)"
605,Newell Refinery (Ergon),"Newell, 22,300 bbl/d (3,550 m3/d)"
606,Superior Refinery (Husky Energy),"Superior, 38,000 bbl/d (6,000 m3/d)"
607,Cheyenne Refinery (HollyFrontier),"Cheyenne, WY, 52,000 bbl/d (8,300 m3/d) Nelson Complexity Index 8.9[55]"
608,Douglas Refinery (Genesis Energy),"Douglas, WY, 3,800 bbl/d (600 m3/d)"
609,Evanston Refinery (Silver Eagle Refining),"Evanston, WY, 3,000 bbl/d (480 m3/d)"
610,"Newcastle Refinery (Wyoming Refining Company, LLC a subsidiary of Par Pacific Holdings)","Newcastle, WY, 18,000 bbl/d (2,900 m3/d)"
611,Sinclair Wyoming Refinery (Sinclair Oil),"Sinclair, WY, 85,000 bbl/d (13,500 m3/d)"
612,Sinclair Casper Refinery (Sinclair Oil),"Evansville, WY, 25,000 bbl/d (4,000 m3/d)"
613,St Croix Refinery (HOVENSA),"494,000 bbl/d (78,500 m3/d"
614,"British Petroleum has mou intention to operate refinery at 300,000 bbl/d (48,000 m3/d)",값 따로 넣어주기
615,Kurnell Refinery (Caltex),"124,500 bbl/d (19,790 m3/d),[71] Botany Bay - closed in 2014 and converted to a terminal"
616,Clyde Refinery (Royal Dutch Shell),"100,000 bbl/d (16,000 m3/d"
617,Matraville Refinery (Total S.A.),"45,000 bbl/d (7,200 m3/d"
618,Geelong Refinery (Vitol),"130,000 bbl/d (21,000 m3/d"
619,Altona Refinery (ExxonMobil),"about 75,000 bbl/d (11,900 m3/d"
620,Westernport Refinery (BP),"35,000 bbl/d (5,600 m3/d"
621,Bulwer Island Refinery (BP),"Bulwer Island 90,000 bbl/d (14,000 m3/d"
622,Lytton Refinery (Caltex),"104,000 bbl/d (16,500 m3/d"
623,Eromanga Refinery (IOR Energy),"1,200 bbl/d (190 m3/d"
624,Port Stanvac Refinery (ExxonMobil),"100,000 bbl/d (16,000 m3/d"
625,Kwinana Refinery (BP),"Kwinana 138,000 bbl/d (21,900 m3/d"
626,Marsden Point Oil Refinery (Refining NZ),"Whangarei 96,000 bbl/d (15,300 m3/d) Nelson Complexity Index 8.12[8]"
627,"InterOil Refinery, Port Moresby (Puma Energy)","  32,500 bbl/d (5,170 m3/d)"
628,La Plata Refinery (YPF),"189,000 bbl/d (30,000 m3/d)"
629,Buenos Aires Refinery (Royal Dutch Shell),"110,000 bbl/d (17,000 m3/d)"
630,Luján de Cuyo Refinery (YPF),"105,500 bbl/d (16,770 m3/d)"
631,Esso Campana Refinery (Axion Energy),"84,500 bbl/d (13,430 m3/d)"
632,San Lorenzo Refinery (Refisan S.A.),"38,000 bbl/d (6,000 m3/d"
633,Plaza Huincul Refinery (YPF),"25,000 bbl/d (4,000 m3/d"
634,Campo Duran Refinery (Refinor),"32,000 bbl/d (5,100 m3/d)"
635,Bahía Blanca Refinery (Petrobras),"28,975 bbl/d (4,606.7 m3/d)"
636,"Avellaneda Refinery (Destilerías Argentinas de Petróleos, DAPSA)","1,300 bbl/d (210 m3/d)"
637,Gualberto Villarael Cochabamba Refinery (YPFB),"40,000 bbl/d (6,400 m3/d)"
638,Guillermo Elder Bell Santa Cruz Refinery (YPFB),"20,000 bbl/d (3,200 m3/d)"
639,Carlos Montenegro Sucre Refinery (Refisur SA),"3,000 bbl/d (480 m3/d)"
640,"Reficruz 2,000 bbl/d (320 m3/d)",값 따로 넣어주기
641,"Refinería Oro Negro SA 2,000 bbl/d (320 m3/d)",값 따로 넣어주기
642,REFAP (Petrobras),"Canoas 201,000 bbl/d (32,000 m3/d)"
643,RECAP (Petrobras),"Mauá 53,500 bbl/d (8,510 m3/d)"
644,REPLAN (Petrobras),"Paulínia 415,000 bbl/d (66,000 m3/d)"
645,REVAP (Petrobras),"São José dos Campos  251,500 bbl/d (39,990 m3/d)"
646,RPBC (Petrobras),"Cubatão 170,000 bbl/d (27,000 m3/d)"
647,REDUC (Petrobras),"Duque de Caxias, Rio de Janeiro 242,000 bbl/d (38,500 m3/d)"
648,REMAN (Petrobras),"Manaus 46,000 bbl/d (7,300 m3/d)"
649,Lubnor (Petrobras),"Fortaleza 82,000 bbl/d (13,000 m3/d)"
650,REGAP (Petrobras),"Betim 151,000 bbl/d (24,000 m3/d)"
651,REPAR (Petrobras),"Araucária 220,000 bbl/d (35,000 m3/d)"
652,RLAM (Petrobras),"São Francisco do Conde 280,000 bbl/d (45,000 m3/d)"
653,RPCC (Petrobras),"Guamaré 35,000 bbl/d (5,600 m3/d)"
654,RNEST (Petrobras),"Ipojuca 100,000 bbl/d (16,000 m3/d)"
655,Refinaria Ipiranga (Refinaria Riograndense),"Pelotas 17,000 bbl/d (2,700 m3/d)"
656,Refinaria Manguinhos (Grupo Peixoto de Castro ),"Rio de Janeiro 13,800 bbl/d (2,190 m3/d)"
657,DAX Oil (Dax-Oil),"Camaçari 2,100 bbl/d (330 m3/d)"
658,Univen (Univen Petróleo),"Itupeva 6,900 bbl/d (1,100 m3/d)"
659,BioBio Refinery (Empresa Nacional del Petróleo),"113,000 bbl/d (18,000 m3/d)"
660,Aconcagua Concon Refinery (Empresa Nacional del Petróleo),"97,650 bbl/d (15,525 m3/d)"
661,Gregorio Refinery (Empresa Nacional del Petróleo),"14,750 bbl/d (2,345 m3/d)"
662,Barrancabermeja-Santander Refinery (Ecopetrol),"252,000 bbl/d (40,100 m3/d) (start-up 1922"
663,Cartagena Refinery (Reficar S.A.),"165,000 bbl/d (26,200 m3/d) (start-up 1957)"
664,Apiay Refinery (Ecopetrol),"2,250 bbl/d (358 m3/d)"
665,Orito Refinery (Ecopetrol),"1,800 bbl/d (290 m3/d)"
666,Tibu Refinery (Ecopetrol),"1,800 bbl/d (290 m3/d)"
667,Esmeraldas Refinery (Petroecuador),"110,000 bbl/d (17,000 m3/d) (start-up 1978)"
668,La Libertad Refinery (Petroecuador),"45,000 bbl/d (7,200 m3/d)"
669,Shushufindi Refinery (Petroecuador),"20,000 bbl/d (3,200 m3/d)"
670,Villa Elisa Refinery (Petropar),"7,500 bbl/d (1,190 m3/d)"
671,"Refinería La Pampilla Ventanilla/Lima (Repsol) 102,000 bbl/d (16,200 m3/d)",5 Mtpa
672,Refinería de Talara (Petroperú),"65,000 bbl/d (10,300 m3/d"
673,Refinería Iquitos Loreto (Petroperú),"12,000 bbl/d (1,900 m3/d"
674,Refinería Conchan (Petroperú),"15,000 bbl/d (2,400 m3/d"
675,Refinería Pucallpa (Maple Gas),"3,250 bbl/d (517 m3/d)"
676,Refinería El Milagro (Petroperú),"1,500 bbl/d (240 m3/d"
677,Refinería Shiviyacu (Pluspetrol),"2,000 bbl/d (320 m3/d"
678,Staatsolie Refinery (Staatsolie),"15,000 bbl/d (2,400 m3/d)"
679,La Teja Montevideo Refinery (ANCAP),"40,000 bbl/d (6,400 m3/d"
680,Paraguana Refinery Complex (CRP),(PDVSA
681,Puerto La Cruz Refinery (PDVSA),"200,000 bbl/d (32,000 m3/d"
682,El Palito Refinery (PDVSA),"140,000 bbl/d (22,000 m3/d"
683,San Roque Refinery (PDVSA),"5,200 bbl/d (830 m3/d)"
684,"Upgraders (Extra Heavy Oil Joint Ventures with PDVSA at Jose)
Petro San Felix, originally Petrozuata (PDVSA) 140,000 bbl/d (22,000 m3/d) (start-up 2000)
Petropiar (PDVSA and Chevron)","originally Ameriven  (Phillips 66, ChevronTexaco, and PDVSA) 190,000 bbl/d (30,000 m3/d) (start-up 2004)
Petrocedeño, originally Sincor (Total S.A., Equinor (prev. Statoil"
685,List of oil pipelines,값 따로 넣어주기
686,List of natural gas pipelines,값 따로 넣어주기
687,List of oil refineries in India,값 따로 넣어주기
688,Energy Information Administration: Petroleum Refining and Processing Data,값 따로 넣어주기
689,Information About Asiste Pemex Login and refineries,값 따로 넣어주기
