,회사,양
121,Abadan Refinery (NIODC),"450,000 bbl/d (72,000 m3/d)"
122,Arvand Oil Refinery (Privately held company),"120,000 bbl/d (19,000 m3/d)"
123,Arak Refinery (NIODC),"250,000 bbl/d (40,000 m3/d)"
124,Tehran Refinery (NIODC),"225,000 bbl/d (35,800 m3/d)"
125,Isfahan Refinery (NIODC),"375,000 bbl/d (59,600 m3/d)"
126,Tabriz Refinery (NIODC),"112,000 bbl/d (17,800 m3/d)"
127,Shiraz Refinery (NIODC),"40,000 bbl/d (6,400 m3/d)"
128,Lavan Refinery (NIODC),"60,000 bbl/d (9,500 m3/d)"
129,Persian Gulf Star Oil Refinery (NIODC),"360,000 bbl/d (57,000 m3/d)"
130,Kermanshah Refinery (NIODC),"25,000 bbl/d (4,000 m3/d)"
131,Bandar Abbas Refinery (NIODC),"350,000 bbl/d (56,000 m3/d)"
132,Pars Refinery (NIODC),"150,000 bbl/d (24,000 m3/d) (under construction)"
133,Anahita Refinery (NIODC),"150,000 bbl/d (24,000 m3/d) (under construction)"
134,Bahman Geno Refinery (NIODC),"150,000 bbl/d (24,000 m3/d) (under construction)"
135,Basrah Refinery (Iraq National Oil Company),"210,000 bbl/d (33,000 m3/d)"
136,Daurah Refinery (Iraq National Oil Company),"180,000 bbl/d (29,000 m3/d)"
137,Kirkuk Refinery (Iraq National Oil Company),"170,000 bbl/d (27,000 m3/d)"
138,Baiji Salahedden Refinery (Iraq National Oil Company),"70,000 bbl/d (11,000 m3/d)"
139,Baiji North Refinery (Iraq National Oil Company),"150,000 bbl/d (24,000 m3/d)"
140,Khanaqin/Alwand Refinery (Iraq National Oil Company),"10,500 bbl/d (1,670 m3/d)"
141,Samawah Refinery (Iraq National Oil Company),"27,000 bbl/d (4,300 m3/d)"
142,Haditha Refinery (Iraq National Oil Company),"14,000 bbl/d (2,200 m3/d)"
143,Muftiah Refinery (Iraq National Oil Company),"4,500 bbl/d (720 m3/d)"
144,Gaiyarah Refinery (Iraq National Oil Company),"4,000 bbl/d (640 m3/d)"
145,Erbil Refinery (KAR Group),"100,000 bbl/d (16,000 m3/d)"
146,Mirsan Refinery (MIRC Group),"150,000 bbl/d (24,000 m3/d)"
147,Ashdod Oil Refineries (Paz Oil Company),"108,000 bbl/d (17,200 m3/d)"
148,Haifa Refinery (BAZAN Group),"197,000 bbl/d (31,300 m3/d)"
149,(Chiba Refinery) (Cosmo Oil Company),"240,000 bbl/d (38,000 m3/d)"
150,Yokkaichi Refinery (Cosmo Oil Company),"175,000 bbl/d (27,800 m3/d)"
151,Sakai Refinery (Cosmo Oil) (Cosmo Oil Company)," 80,000 bbl/d (13,000 m3/d)"
152,Sakaide Refinery (Cosmo Oil Company)," 140,000 bbl/d (22,000 m3/d)"
153,Muroran Refinery (JXTG Nippon Oil & Energy),"180,000 bbl/d (29,000 m3/d)"
154,Sendai Refinery (JXTG Nippon Oil & Energy)," 145,000 bbl/d (23,100 m3/d)"
155,Negishi Yokohama Refinery (JXTG Nippon Oil & Energy)," 340,000 bbl/d (54,000 m3/d)"
156,Osaka Refinery (JXTG Nippon Oil & Energy)," 115,000 bbl/d (18,300 m3/d)"
157,Mizushima Refinery (JXTG Nippon Oil & Energy)," 250,000 bbl/d (40,000 m3/d)"
158,Marifu Refinery (JXTG Nippon Oil & Energy),"127,000 bbl/d (20,200 m3/d)"
159,Toyama Refinery (Nihonkai Oil JXTG Nippon Oil & Energy),"60,000 bbl/d (9,500 m3/d)"
160,Kubiki Refinery (Teikoku Oil),"4,410 bbl/d (701 m3/d)"
161,Chiba Refinery (Kyokuto) (Kyokuto Petroleum/ExxonMobil),"175,000 bbl/d (27,800 m3/d)"
162,Kawasaki Refinery (JXTG Nippon Oil & Energy/ExxonMobil),"335,000 bbl/d (53,300 m3/d)"
163,Wakayama Refinery (JXTG Nippon Oil & Energy/ExxonMobil),"170,000 bbl/d (27,000 m3/d)"
164,Sakai Refinery (JXTG Nippon Oil & Energy) (JXTG Nippon Oil & Energy/ExxonMobil),"156,000 bbl/d (24,800 m3/d)"
165,Nishihara Refinery (Nansei sekiyu/Petrobras),"100,000 bbl/d (16,000 m3/d)"
166,Keihin Refinery (Toa Oil/Royal Dutch Shell),"185,000 bbl/d (29,400 m3/d)"
167,Showa Yokkaichi Refinery (Showa Yokkaichi/Royal Dutch Shell),"210,000 bbl/d (33,000 m3/d)"
168,Yamaguchi Refinery (Seibu Oil/Royal Dutch Shell),"120,000 bbl/d (19,000 m3/d)"
169,Sodegaura Refinery (Fuji Oil Company),"192,000 bbl/d (30,500 m3/d)"
170,Kashima Refinery (Kashima Oil Company/Japan Energy),"210,000 bbl/d (33,000 m3/d)"
171,Mizushima Refinery (Japan Energy) (Japan Energy),"205,200 bbl/d (32,620 m3/d)"
172,Shikoku Refinery (Taiyo Oil),"Taiyo Oil 120,000 bbl/d (19,000 m3/d)"
173,Ohita Refinery (Kyusyu Oil),"Kyusyu Oil 160,000 bbl/d (25,000 m3/d)"
174,Hokkaido Refinery (Idemitsu Kosan),"140,000 bbl/d (22,000 m3/d)"
175,Chiba Refinery (Idemitsu) (Idemitsu Kosan),"220,000 bbl/d (35,000 m3/d)"
176,Aichi Refinery (Idemitsu Kosan),"160,000 bbl/d (25,000 m3/d)"
177,Tokuyama Refinery (Idemitsu Kosan),"120,000 bbl/d (19,000 m3/d)"
178,,값 따로 넣어주기
179,"Jordan Refinery, Zarqa, Az Zarqa (Jordan Petroleum Refinery Company)","90,000 bbl/d (14,000 m3/d)[23]"
180,Shymkent Refinery (PetroKazakhstan),"160,000 bbl/d (25,000 m3/d)"
181,Pavlodar Refinery (KazMunayGas),"162,600 bbl/d (25,850 m3/d)"
182,Atyrau Refinery (KazMunayGas),"104,400 bbl/d (16,600 m3/d)"
183,Mina Al-Ahmadi Refinery (Kuwait National Petroleum Company),"470,000 bbl/d (75,000 m3/d)"
184,Shuaiba Refinery (Kuwait National Petroleum Company),"200,000 bbl/d (32,000 m3/d) - shut down in April 2017"
185,Mina Abdullah Refinery (Kuwait National Petroleum Company),"270,000 bbl/d (43,000 m3/d)"
186,"Al Zour Refinery, Kuwait National Petroleum Company (KNPC)","615,000 bbl/day (under construction; targeted commissioning 2019-2020)"
187,Melaka I Refinery (Petronas),"100,000 bbl/d (16,000 m3/d)[24]"
188,Melaka II Refinery (Petronas/Phillips 66),"170,000 bbl/d (27,000 m3/d)[24]"
189,Kertih Refinery (Petronas),"40,000 bbl/d (6,400 m3/d)"
190,Hengyuan Port Dickson Refinery (Hengyuan Refining Company),"156,000 bbl/d (24,800 m3/d)"
191,Petron Port Dickson Refinery (Petron),"88,000 bbl/d (14,000 m3/d)[25]"
192,Kemaman Bitumen Refinery (TIPCO),"30,000 bbl/d (4,800 m3/d)[26]"
193,Thanlyin Refinery (Myanma Petrochemical Enterprise[permanent dead link]),"20,000 bbl/d (3,200 m3/d)"
194,"Mina Al Fahal, Oman Refinery Company (ORPIC)"," 106,000 bbl/d (16,900 m3/d)"
195,Sohar Refinery Company (SRC) (ORPIC),"116,000 bbl/d (18,400 m3/d)"
196,Duqm Refinery Company (DRC) (Duqmrefinery),"230,000 bbl/d (37,000 m3/d) (proposed)"
197,Pak-Arab Refinery Ltd. (MCR),"Multan, Punjab 100,000 bbl/d (16,000 m3/d)"
198,National Refinery Ltd. (NRL),"Karachi, Sindh 64,000 bbl/d (10,200 m3/d)"
199,Attock Refinery Ltd. (ARL),"Rawalpindi, Punjab 53,400 bbl/d (8,490 m3/d)[27]"
200,Byco Petroleum Pakistan Limited (Byco),"Karachi, Sindh 150,000 bbl/d (24,000 m3/d)"
201,Pakistan Refinery Ltd. (PRL),"Karachi, Sindh 50,000 bbl/d (7,900 m3/d)"
202,Khyber Refinery (Pvt),"Ltd, Kushalgarh, Kohat, KP 20,000 bbl/d (under construction)[28][29][30]"
203,Enar Petroleum Refining Facility (Enar),"Gadap, Karachi, Sindh 3,000 bbl/d (480 m3/d)"
204,"Indus Oil Refinery Ltd, 100,000 bbl/d (16,000 m3/d)",(under construction)
205,Grace Refinery Limited (GRL),"Kot Addu, Muzaffargarh, Punjab (120,000 bbl/d"
206,"Al Motahedon Petroleum Refineries (50,000 bbl/d)",(under construction)[31]
207,Bataan Refinery (Philippine National Oil Company),"Limay, Bataan 180,000 bbl/d (29,000 m3/d)"
208,Tabangao Refinery (Royal Dutch Shell),"Tabangao, Batangas 110,000 bbl/d (17,000 m3/d)"
209,Batangas Refinery (Caltex (Chevron)),"Batangas City, Batangas 86,000 bbl/d (13,700 m3/d) - ceased operation in 2003 to give way to a P750-million finished product import terminal[32]"
210,Um Said Refinery (QP Refinery 100%),"147,000 bbl/d (23,400 m3/d)"
211,"Laffan Refinery 1 (Qatar Petroleum 51%, ExxonMobil 10%, Total 10%, Idemitsu 10%, Cosmo Oil Company 10%, Mitsui 4.5%, Marubeni 4.5%)","146,000 bbl/d (23,200 m3/d)"
212,"Laffan Refinery 2 (Qatar Petroleum 84%, Total 10%, Cosmo 2%, Idemitsu 2%, Mitsui 1% and Marubeni 1%)","146,000 bbl/d"
213,Riyadh Refinery (Saudi Aramco),"120,000 bbl/d (19,000 m3/d)"
214,Rabigh Refinery (Saudi Aramco/Sumitomo),"400,000 bbl/d (64,000 m3/d)"
215,Jeddah Refinery (Saudi Aramco),"100,000 bbl/d (16,000 m3/d)"
216,Ras Tanura Refinery (Saudi Aramco),"550,000 bbl/d (87,000 m3/d)"
217,Yanbu' Refinery (Saudi Aramco),"225,000 bbl/d (35,800 m3/d)"
218,Yanbu' Refinery (SAMREF) (Saudi Aramco/Exxon Mobil),"400,000 bbl/d (64,000 m3/d)"
219,Jubail Refinery (SATORP) (Saudi Aramco/Total),"400,000 bbl/d (64,000 m3/d)"
220,"YASREF Refinery (Yanbu, KSA) (Saudi Aramco/Sinopec)","400,000 bbl/d (64,000 m3/d)[33]"
221,"Jazan Refinery (Saudi Aramco, opens 2016)","400,000 bbl/d (64,000 m3/d)"
222,Jubail Refinery (SASREF) (Saudi Aramco/Shell),"305,000 bbl/d (48,500 m3/d)"
223,ExxonMobil Jurong Island Refinery (ExxonMobil),"605,000 bbl/d (96,200 m3/d)"
224,SRC Jurong Island Refinery (Singapore Petroleum Company),"290,000 bbl/d (46,000 m3/d)"
225,Shell Pulau Bukom Refinery (Royal Dutch Shell),"500,000 bbl/d (79,000 m3/d)"
226,Sapugaskanda Refinery (Ceylon Petroleum Co.),"Sapugaskanda, Western Province"
227,"SK Energy Co., Ltd. Ulsan Refinery (SK Energy)","850,000 bbl/d (135,000 m3/d)"
228,S-Oil Onsan Refinery (S-Oil),"669,000 bbl/d (106,400 m3/d)"
229,GS-Caltex Yeosu Refinery (GS Caltex),"730,000 bbl/d (116,000 m3/d)"
230,SK Incheon Petrochem (SK Group/SK Incheon Petrochem),"275,000 bbl/d (43,700 m3/d)"
231,Hyundai Oilbank Daesan Refinery (Hyundai Oilbank),"275,000 bbl/d (43,700 m3/d)"
232,Homs Refinery,값 따로 넣어주기
233,Banias Refinery,값 따로 넣어주기
234,Talin Refinery (CPC),"100,000 bbl/d (16,000 m3/d)"
235,Kaohsiung Refinery (CPC),"270,000 bbl/d (43,000 m3/d) Ceased operations end 2015."
236,Taoyuan Refinery (CPC),"200,000 bbl/d (32,000 m3/d)"
237,Mailiao Refinery (Formosa Petrochemical),"540,000 bbl/d (86,000 m3/d)"
238,Thai Oil Refinery (Thai Oil Company of PTT Public Company Limited),"275,000 bbl/d (43,700 m3/d)"
239,IRPC Refinery (IRPC PLC of PTT),"215,000 bbl/d (34,200 m3/d)"
240,PTT Global Chemical Refinery (PTT Global Chemical PLC of PTT),"145,000 bbl/d (23,100 m3/d)"
241,SPRC Refinery (Star Petroleum Refining Company of PTT),"150,000 bbl/d (24,000 m3/d)"
242,Bangchak Refinery (Bangchak Petroleum),"120,000 bbl/d (19,000 m3/d)"
243,Sri Racha Refinery (ExxonMobil),"170,000 bbl/d (27,000 m3/d)"
244,Rayong Purifier Refinery (Rayong Purifier Company),"17,000 bbl/d (2,700 m3/d)"
245,STAR Refinery (Socar),"214,000 bbl/d (34,000 m3/d) (operating since end 2018)"
